ChromosomeName,StartPosition,EndPosition,FileName,NumberOfFilesFoundIn,NumberMatchingBasePairs
chr1,564338,567011,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,2673
chr1,692028,692250,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,222
chr1,734811,734919,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,108
chr1,745594,747745,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,2151
chr1,758486,758590,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,104
chr1,812094,812359,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,265
chr1,854278,855488,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,1210
chr1,874815,874862,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,47
chr1,874863,875766,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,3,2709
chr1,874863,875766,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,3,2709
chr1,874863,875766,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,3,2709
chr1,889988,890159,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,171
chr1,906133,906423,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,290
chr1,949115,949454,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,339
chr1,962427,964767,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,2340
chr1,980433,981125,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,692
chr1,993249,993842,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,593
chr1,1004025,1004621,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,596
chr1,1022659,1023557,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,898
chr1,1031788,1032443,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,655
chr1,1050066,1052502,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,2436
chr1,1055369,1055705,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,336
chr1,1169988,1170572,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,584
chr1,1172998,1173992,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,994
chr1,1175866,1176332,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,466
chr1,1192622,1193269,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,647
chr1,1208762,1209972,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,1210
chr1,1259031,1259978,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,947
chr1,1329918,1330216,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,298
chr1,1368963,1369818,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,855
chr1,1447200,1448016,iCellNeuron_HTTLOC_CAPCxHTT_REP1.bed,1,816
chr1,1475837,1476767,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,930
chr1,1517706,1517781,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,75
chr1,1528321,1528560,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,239
chr1,1535625,1536333,iCellNeuron_HTTLOC_CAPCxHTT_REP3.bed,1,708
chr1,1579014,1579236,iCellNeuron_HTTLOC_CAPCxHTT_REP2.bed,1,222
